,begin,end,file
0,0,184,TRAIN/DR1/FECD0/SX248.WAV
1,184,320,TRAIN/DR1/FECD0/SA1.WAV
2,320,515,TRAIN/DR1/FETB0/SI518.WAV
3,515,694,TRAIN/DR1/FECD0/SX428.WAV
4,694,921,TRAIN/DR1/FJSP0/SI1763.WAV
5,921,1019,TRAIN/DR1/FDML0/SI2075.WAV
6,1019,1129,TRAIN/DR1/FDML0/SI1149.WAV
7,1129,1221,TRAIN/DR1/FDML0/SA1.WAV
8,1221,1364,TRAIN/DR1/FETB0/SA2.WAV
9,1364,1519,TRAIN/DR1/FECD0/SA2.WAV
10,1519,1730,TRAIN/DR1/FECD0/SX68.WAV
11,1730,1899,TRAIN/DR1/FECD0/SI1418.WAV
12,1899,2204,TRAIN/DR1/FJSP0/SX84.WAV
13,2204,2364,TRAIN/DR1/FDML0/SX159.WAV
14,2364,2665,TRAIN/DR1/FJSP0/SX354.WAV
15,2665,2831,TRAIN/DR1/FECD0/SX158.WAV
16,2831,2989,TRAIN/DR1/FECD0/SA2.WAV
17,2989,3170,TRAIN/DR1/FDML0/SX339.WAV
18,3170,3335,TRAIN/DR1/FDML0/SX339.WAV
19,3335,3526,TRAIN/DR1/FECD0/SX68.WAV
20,3526,3732,TRAIN/DR1/FETB0/SA1.WAV
21,3732,3893,TRAIN/DR1/FECD0/SI1418.WAV
22,3893,4121,TRAIN/DR1/FJSP0/SX174.WAV
23,4121,4281,TRAIN/DR1/FDML0/SX339.WAV
24,4281,4382,TRAIN/DR1/FDAW0/SX326.WAV
25,4382,4563,TRAIN/DR1/FECD0/SX248.WAV
26,4563,4689,TRAIN/DR1/FDML0/SX249.WAV
27,4689,4850,TRAIN/DR1/FECD0/SI1418.WAV
28,4850,5024,TRAIN/DR1/FECD0/SX428.WAV
29,5024,5186,TRAIN/DR1/FECD0/SI2048.WAV
30,5186,5460,TRAIN/DR1/FETB0/SI1148.WAV
31,5460,5652,TRAIN/DR1/FECD0/SX338.WAV
32,5652,6002,TRAIN/DR1/FKFB0/SI1608.WAV
33,6002,6166,TRAIN/DR1/FDML0/SI1149.WAV
34,6166,6490,TRAIN/DR1/FJSP0/SX444.WAV
35,6490,6652,TRAIN/DR1/FDML0/SX69.WAV
36,6652,6844,TRAIN/DR1/FDML0/SX69.WAV
37,6844,7053,TRAIN/DR1/FECD0/SX248.WAV
38,7053,7284,TRAIN/DR1/FJSP0/SA1.WAV
39,7284,7470,TRAIN/DR1/FECD0/SI788.WAV
40,7470,7672,TRAIN/DR1/FECD0/SX428.WAV
41,7672,7843,TRAIN/DR1/FECD0/SI2048.WAV
42,7843,8005,TRAIN/DR1/FECD0/SI1418.WAV
43,8005,8227,TRAIN/DR1/FETB0/SI518.WAV
44,8227,8446,TRAIN/DR1/FETB0/SA1.WAV
45,8446,8587,TRAIN/DR1/FDML0/SX429.WAV
46,8587,8753,TRAIN/DR1/FECD0/SA2.WAV
47,8753,8954,TRAIN/DR1/FECD0/SX338.WAV
48,8954,9170,TRAIN/DR1/FETB0/SI518.WAV
49,9170,9339,TRAIN/DR1/FECD0/SX158.WAV
50,9339,9564,TRAIN/DR1/FECD0/SX428.WAV
51,9564,9733,TRAIN/DR1/FECD0/SI1418.WAV
52,9733,10008,TRAIN/DR1/FKFB0/SI2238.WAV
53,10008,10087,TRAIN/DR1/FDAW0/SI2036.WAV
